Time Elapsed (Hour),Tidal State,V1,V2,V3,V1+V2,R1 = V2/V1,R2 = V2/V3,R3 = V1/V3,"R4 = V1/V2
=1/R1","R5 = V3/V1
=1/R3","R6 = V1/V2
=1/R2"
0.00,State1,50.0396,-145.612,-123.802,-95.5724,-2.909935331,1.176168398,-0.404190562,-0.343650249,-2.474080528,-0.343650249
0.05,State1,18.6017,-145.386,-154.986,-126.7843,-7.815737271,0.938058921,-0.120021808,-0.127946983,-8.331819135,-0.127946983
0.10,State1,-37.265,-138.475,-194.223,-175.74,3.715953307,0.712969113,0.191867081,0.269109948,5.2119415,0.269109948
0.15,State1,-106.899,-120.231,-246.103,-227.13,1.124715853,0.488539351,0.434366911,0.889113457,2.302201143,0.889113457
0.18,State1,-174.343,-100.796,-294.993,-275.139,0.578147674,0.341689464,0.591007244,1.729661891,1.692026637,1.729661891
0.23,State1,-244.459,-84.5619,-349.073,-329.0209,0.345914448,0.242247037,0.700309104,2.890888213,1.427940882,2.890888213
0.28,State1,-320.974,-77.5757,-409.259,-398.5497,0.241688423,0.189551604,0.784280859,4.13755854,1.275053431,4.13755854
0.32,State1,-388.653,-74.2115,-473.126,-462.8645,0.190945393,0.156853565,0.821457709,5.237099371,1.217348123,5.237099371
0.37,State1,-451.386,-69.4551,-527.378,-520.8411,0.153870745,0.131698895,0.85590601,6.498961199,1.168352585,6.498961199
0.42,State1,-507.534,-57.3918,-568.501,-564.9258,0.113079715,0.100952857,0.892758324,8.84331908,1.120123972,8.84331908
0.45,State1,-552.019,-44.9988,-601.916,-597.0178,0.081516759,0.074759269,0.917103051,12.26741602,1.090390005,12.26741602
0.50,State1,-585.492,-33.9315,-626.444,-619.4235,0.057953823,0.054165257,0.934627836,17.25511693,1.069944594,17.25511693
0.55,State1,-608.165,-33.7015,-649.231,-641.8665,0.05541506,0.051909875,0.936746705,18.04563595,1.067524438,18.04563595
0.60,State1,-620.049,-45.245,-671.979,-665.294,0.072970039,0.067330973,0.922720799,13.70425461,1.083751445,13.70425461
0.63,State1,-628.414,-57.4706,-693.293,-685.8846,0.091453405,0.082895111,0.906419075,10.93453,1.103242448,10.93453
